id,full_name,jurisdiction,jurisdiction_name,jurisdiction_type,jurisdiction_state,appeals_to_full_name,appeals_to_id,note
vib,"United States Bankruptcy Court, D. Virgin Islands",FB,Federal Bankruptcy,Federal,Virgin Islands,"District Court, Virgin Islands",vid,
dcd,"District Court, District of Columbia",FD,Federal District,Federal,District of Columbia,Court of Appeals for the D.C. Circuit,cadc,
almd,"District Court, M.D. Alabama",FD,Federal District,Federal,Alabama,Court of Appeals for the Eleventh Circuit,ca11,
alnd,"District Court, N.D. Alabama",FD,Federal District,Federal,Alabama,Court of Appeals for the Eleventh Circuit,ca11,
alsd,"District Court, S.D. Alabama",FD,Federal District,Federal,Alabama,Court of Appeals for the Eleventh Circuit,ca11,
akd,"District Court, D. Alaska",FD,Federal District,Federal,Alaska,Court of Appeals for the Ninth Circuit,ca9,
azd,"District Court, D. Arizona",FD,Federal District,Federal,Arizona,Court of Appeals for the Ninth Circuit,ca9,
ared,"District Court, E.D. Arkansas",FD,Federal District,Federal,Arkansas,Court of Appeals for the Eighth Circuit,ca8,
arwd,"District Court, W.D. Arkansas",FD,Federal District,Federal,Arkansas,Court of Appeals for the Eighth Circuit,ca8,
cacd,"District Court, C.D. California",FD,Federal District,Federal,California,Court of Appeals for the Ninth Circuit,ca9,
caed,"District Court, E.D. California",FD,Federal District,Federal,California,Court of Appeals for the Ninth Circuit,ca9,
cand,"District Court, N.D. California",FD,Federal District,Federal,California,Court of Appeals for the Ninth Circuit,ca9,
casd,"District Court, S.D. California",FD,Federal District,Federal,California,Court of Appeals for the Ninth Circuit,ca9,
cod,"District Court, D. Colorado",FD,Federal District,Federal,Colorado,Court of Appeals for the Tenth Circuit,ca10,
ctd,"District Court, D. Connecticut",FD,Federal District,Federal,Connecticut,Court of Appeals for the Second Circuit,ca2,
ded,"District Court, D. Delaware",FD,Federal District,Federal,Delaware,Court of Appeals for the Third Circuit,ca3,
flmd,"District Court, M.D. Florida",FD,Federal District,Federal,Florida,Court of Appeals for the Eleventh Circuit,ca11,
flnd,"District Court, N.D. Florida",FD,Federal District,Federal,Florida,Court of Appeals for the Eleventh Circuit,ca11,
flsd,"District Court, S.D. Florida",FD,Federal District,Federal,Florida,Court of Appeals for the Eleventh Circuit,ca11,
gamd,"District Court, M.D. Georgia",FD,Federal District,Federal,Georgia,Court of Appeals for the Eleventh Circuit,ca11,
gand,"District Court, N.D. Georgia",FD,Federal District,Federal,Georgia,Court of Appeals for the Eleventh Circuit,ca11,
gasd,"District Court, S.D. Georgia",FD,Federal District,Federal,Georgia,Court of Appeals for the Eleventh Circuit,ca11,
hid,"District Court, D. Hawaii",FD,Federal District,Federal,Hawaii,Court of Appeals for the Ninth Circuit,ca9,
idd,"District Court, D. Idaho",FD,Federal District,Federal,Idaho,Court of Appeals for the Ninth Circuit,ca9,
ilcd,"District Court, C.D. Illinois",FD,Federal District,Federal,Illinois,Court of Appeals for the Seventh Circuit,ca7,
ilnd,"District Court, N.D. Illinois",FD,Federal District,Federal,Illinois,Court of Appeals for the Seventh Circuit,ca7,
ilsd,"District Court, S.D. Illinois",FD,Federal District,Federal,Illinois,Court of Appeals for the Seventh Circuit,ca7,
innd,"District Court, N.D. Indiana",FD,Federal District,Federal,Indiana,Court of Appeals for the Seventh Circuit,ca7,
insd,"District Court, S.D. Indiana",FD,Federal District,Federal,Indiana,Court of Appeals for the Seventh Circuit,ca7,
iand,"District Court, N.D. Iowa",FD,Federal District,Federal,Iowa,Court of Appeals for the Eighth Circuit,ca8,
iasd,"District Court, S.D. Iowa",FD,Federal District,Federal,Iowa,Court of Appeals for the Eighth Circuit,ca8,
ksd,"District Court, D. Kansas",FD,Federal District,Federal,Kansas,Court of Appeals for the Tenth Circuit,ca10,
kyed,"District Court, E.D. Kentucky",FD,Federal District,Federal,Kentucky,Court of Appeals for the Sixth Circuit,ca6,
kywd,"District Court, W.D. Kentucky",FD,Federal District,Federal,Kentucky,Court of Appeals for the Sixth Circuit,ca6,
laed,"District Court, E.D. Louisiana",FD,Federal District,Federal,Louisiana,Court of Appeals for the Fifth Circuit,ca5,
lamd,"District Court, M.D. Louisiana",FD,Federal District,Federal,Louisiana,Court of Appeals for the Fifth Circuit,ca5,
lawd,"District Court, W.D. Louisiana",FD,Federal District,Federal,Louisiana,Court of Appeals for the Fifth Circuit,ca5,
med,"District Court, D. Maine",FD,Federal District,Federal,Maine,Court of Appeals for the First Circuit,ca1,
mdd,"District Court, D. Maryland",FD,Federal District,Federal,Maryland,Court of Appeals for the Fourth Circuit,ca4,
mad,"District Court, D. Massachusetts",FD,Federal District,Federal,Massachusetts,Court of Appeals for the First Circuit,ca1,
