cited_cluster_id,citing_cluster_id,citing_court_id
85272,6545884,mass
85272,112715,scotus
85272,110675,scotus
85272,112279,scotus
85272,112644,scotus
85272,109261,scotus
85272,1923351,njsuperctappdiv
85272,110692,scotus
85272,109836,scotus
85272,2016362,michctapp
85272,112646,scotus
85272,110002,scotus
85272,110718,scotus
85272,112075,scotus
85272,110034,scotus
85272,110037,scotus
85272,2003549,ind
85272,102703,scotus
85272,102139,scotus
85272,110022,scotus
85272,102726,scotus
85272,102734,scotus
85272,784776,ca4
85272,103950,scotus
85272,118404,scotus
85272,112329,scotus
85272,118407,scotus
85272,111908,scotus
85272,103982,scotus
85272,110097,scotus
85272,111710,scotus
85272,1915326,ri
85272,531284,ca10
85272,104031,scotus
85272,104033,scotus
85272,111939,scotus
85272,100916,scotus
85272,753033,ca7
85272,546354,ca10
85272,104002,scotus
85272,101733,scotus
85272,1931626,casb
85272,753052,ca7
85272,107314,scotus
85272,107315,scotus
85272,111262,scotus
85272,107320,scotus
85272,109930,scotus
85272,110892,scotus
85272,150723,ca11
85272,301251,cadc
85272,110894,scotus
85272,104454,scotus
85272,787861,ca9
85272,108153,scotus
85272,6451984,ohio
85272,784972,cadc
85272,108247,scotus
85272,103716,scotus
85272,111146,scotus
85272,103671,scotus
85272,111016,scotus
85272,108221,scotus
85272,112227,scotus
85272,110985,scotus
85272,111104,scotus
85272,1251545,nmctapp
85272,1248280,ca8
85272,787917,ca9
85272,1185929,wyo
85272,727242,ca6
85272,386232,ca4
85272,109101,scotus
85272,109585,scotus
85272,2006345,ord
85272,383877,ca9
85272,1159594,nmctapp
85272,118318,scotus
85272,173170,ca10
85272,386299,ca9
85272,1983964,kywd
85272,387100,ca5
85272,405177,ca5
85272,118346,scotus
85272,397411,ca5
85272,2292929,mdd
85272,789165,ca7
85272,1282876,or
85272,2804677,scotus
85272,185372,cadc
85272,185356,cadc
85272,2037007,wisctapp
85272,381342,ca9
85272,6454239,scotus
85272,536507,ca5
85272,388147,ca9
85272,780292,ca5
85272,780310,ca8
85272,1929720,mdctspecapp
85272,2019813,ctb
85272,2125093,mssd
85272,403935,ca6
85272,2059901,pa
85272,393045,ca9
85272,745416,ca7
85272,589964,ca1
85272,744536,ca8
85272,4033930,oklaag
85272,783497,cafc
85272,6461470,scotus
85272,2826838,nmctapp
85272,2124207,ill
85272,1297252,colo
85272,2788982,scotus
85272,2310959,mdd
85272,6463787,scotus
85272,1280896,kan
85272,1306425,sc
85272,793566,ca4
85272,2056328,pa
85272,761551,ca7
85272,606336,ca5
85272,1932230,miss
85272,2131309,calctapp
85272,6466049,ca6
85272,416938,ca6
85272,6466133,ca6
85272,2443112,dcd
85272,2814616,minnctapp
85272,2028953,wisctapp
85272,799995,scotus
85272,1932873,md
85272,431027,ca5
85272,433870,ca11
85272,799993,scotus
85272,433075,ca5
85272,2117196,dcd
85272,799258,ca3
85272,448024,ca6
85272,439137,ca8
85272,754650,ca4
85272,1281981,okla
85272,2033121,ill
85272,463328,ca5
85272,2295873,kywd
85272,2132124,alnd
85272,781358,ca9
85272,1294114,scctapp
85272,6561053,mass
85272,4083935,ortc
85272,1936255,mdctspecapp
85272,587380,ca10
85272,2286231,txsd
85272,2959745,scotus
85272,2959749,scotus
85272,431820,ca4
85272,2303510,calctapp
85272,2398363,conn
85272,2409114,almd
85272,2806208,scotus
85272,2810527,scotus
85272,2793773,ca5
85272,1943047,ilsd
85272,2050436,ri
85272,4086631,pa
85272,2137462,txnd
85272,2071429,pa
85272,2824665,cadc
85272,1964192,md
85272,2824667,cadc
85272,2220996,ill
85272,2304812,pa
85272,2312323,txsd
85272,1950869,michctapp
85272,1956634,laed
85272,2393884,ri
85272,600380,ca10
85272,604199,ca9
85272,2388378,flsd
85272,1975525,cc
85272,1957669,pawb
85272,1975541,scotus
85272,2237107,ind
85272,2237113,illappct
85272,1438991,nynd
85272,611619,ca4
85272,1759931,nynd
85272,2968348,ca4
85272,1375797,mdd
85272,2140533,ill
85272,4084342,ortc
85272,2310065,mad
85272,1966775,cacd
85272,2144618,mad
85272,2467646,paed
85272,2325706,prd
85272,2468502,ohnd
85272,2154816,cand
85272,1973452,pacommwct
85272,1975956,flsd
85272,2143572,pamd
85272,1982651,pacommwct
85272,2273830,calctapp
85272,2152708,txnd
85272,1984435,nj
85272,2319671,nj
85272,2292464,calctapp
85272,4109953,ri
85272,4085473,ortc
85272,2158719,indtc
85272,2384404,ky
85272,2399361,tex
85272,2813510,texapp
85272,2239427,ill
85272,2145163,almd
85272,1962578,paed
85272,2238958,njd
85272,1994533,njsuperctappdiv
85272,809122,scotus
85272,2314427,ri
85272,2373308,njsuperctappdiv
85272,2250766,ilnd
85272,2059947,ind
85272,2602391,haw
85272,2250741,sdd
85272,2615891,wash
85272,2252165,txnd
85272,2250259,txwd
85272,2066513,conn
85272,2594324,vawd
85272,2392243,nh
85272,2077616,ill
85272,10237819,wawd
85272,2093758,cod
85272,2309786,txwd
85272,2080570,neb
85272,2603583,nm
85272,2082043,mdd
85272,2812474,tex
85272,2316246,flmd
85272,2185204,ilnd
85272,2796697,ca7
85272,2251930,nced
85272,2473777,dcd
85272,3033797,ca9
85272,2257808,ri
85272,4774965,okla
85272,2081088,mass
85272,3564736,mont
85272,2311533,gamd
85272,6563730,mass
85272,2421240,scotus
85272,2614107,washctapp
85272,2096756,tnwd
85272,329701,ca9
85272,2631785,wash
85272,2504220,dcd
85272,2505332,txwd
85272,2469904,vaed
85272,2173488,michctapp
85272,289816,ca3
85272,2173248,iasd
85272,4311267,cadc
85272,2174740,ilnd
85272,2195585,deb
85272,2790213,scotus
85272,2403526,casd
85272,2633581,nev
85272,2431261,nmd
